,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FHL1,62.30038894617658,-3.7069853919026388,0.745396571893501,-4.973172042481941,6.586615776478507e-07,0.0001909020805882687
KLHL31,2.97256653883561,-3.660909705468317,0.7391483160883294,-4.952875662143607,7.312470260201323e-07,0.00020903647861627564
COL11A1,124.53121065946075,6.62813240525235,1.3403141762168698,4.945208013811146,7.606259974446738e-07,0.00021449653127939803
MYOM1,3.1524383414588915,-3.284860942596405,0.6651130011331841,-4.938801281887189,7.86042625202851e-07,0.00021870850003644126
ADAMTS5,8.9078914698465,-2.6417694309754496,0.5363671224837735,-4.925300825192487,8.423066900364385e-07,0.00023127968431158418
BGN,1157.5391003174273,2.5325853942167984,0.5151367601940852,4.916335990587451,8.817900650555874e-07,0.0002389765594490909
RDH5,2.086854560609326,-4.504920073896401,0.9173805906745307,-4.9106337322702975,9.078251776010187e-07,0.00024287815136125716
HBA2,19.031418111101424,-4.91460777870519,1.0028480024668645,-4.9006507133842305,9.551974795759916e-07,0.00025231722789609864
SCGB1B2P,5.439419210688547,-2.793313865127711,0.5707054712677374,-4.894492879002509,9.85595452530355e-07,0.00025391859140004255
CDH23,1.7103215845104307,-2.6805743532595168,0.5474880290473803,-4.896133268746843,9.774079361876667e-07,0.00025391859140004255
ARHGAP20,2.410391922501877,-3.1010637113521775,0.6341276210059232,-4.890283294130806,1.0069095686661406e-06,0.00025450165699178527
ACVR1C,5.490434376607107,-5.4896168151919795,1.1227950826999866,-4.889241946082532,1.012250217094028e-06,0.00025450165699178527
SLC2A4,5.25969231013432,-4.894335308495376,1.0093471853442786,-4.849010706683613,1.2407872482324457e-06,0.0003082470035251747
MRAS,28.95599100935305,-2.571452690823391,0.5311306196900923,-4.84146949073243,1.2888246587350873e-06,0.0003164140350409859
PTH1R,4.111459407096765,-2.770890677349342,0.5733023848100384,-4.8332097524196875,1.3434910158966884e-06,0.00032599965720618714
LINC01614,45.30708864980552,5.684501409750497,1.1804586394521421,4.815502398617462,1.4682999999099498e-06,0.00035218947584046933
MCAM,79.83088955215904,-2.378684594093062,0.4946467981509866,-4.808854728231738,1.5179746733856698e-06,0.0003599669941387745
FNDC1,43.62611466779571,4.335617547175253,0.9029264583830597,4.801739396295218,1.572933140722602e-06,0.00036471076422888067
HSPB7,19.019352095405385,-4.4148369880982,0.9192128247783315,-4.802845292288909,1.5642674614743448e-06,0.00036471076422888067
ARHGEF40,24.230175294147593,-1.4078465534140447,0.29371998868658805,-4.793158816699663,1.6417555384970626e-06,0.00037648521513578795
INHBA,51.16107149047715,4.508149644725338,0.9431281988391556,4.7799966645830025,1.7529810280171715e-06,0.0003976218270941558
AC024909.1,1.5953858956074083,-3.0962407811646613,0.650056039836932,-4.76303670979099,1.907011320364187e-06,0.00042790873369204143
MTURN,28.665048013253003,-2.5407080846064787,0.5349984194084081,-4.749001104369522,2.044238264335855e-06,0.00044493698726199893
PDE3B,6.477421429122876,-4.433579492773618,0.9330444998670044,-4.751734234975478,2.016793453390409e-06,0.00044493698726199893
RHOXF1-AS1,1.9971090533998614,-4.542965209195262,0.9566671945336807,-4.74874150086195,2.0468636561794085e-06,0.00044493698726199893
PPP1R1A,25.966746785089995,-4.5639608819944755,0.9616664569628773,-4.745887567305111,2.075940063771166e-06,0.0004466053324822339
SVEP1,11.46310231294505,-2.9914732832823225,0.6325435407181117,-4.729276469863519,2.2532137947862695e-06,0.00047495015625858455
LRRC15,109.10563961121572,4.308499875119837,0.9108636067476865,4.7301262705002465,2.243802327961948e-06,0.00047495015625858455
PFKFB1,5.722896407523977,-3.9902522938512655,0.8453259815131398,-4.72037105343513,2.354148069281463e-06,0.0004912636190976557
LGI4,3.2975124582275046,-2.5173223723815763,0.5385148190547676,-4.674564716343602,2.9457773607925893e-06,0.0006086384352972252
C14orf180,3.5743383371203,-6.1548985616371255,1.3198113687528727,-4.663468361734953,3.109240061260436e-06,0.0006343983388731122
CAV1,153.7780919427497,-3.1057000615178563,0.6661709170599367,-4.662016881830388,3.1312549791034387e-06,0.0006343983388731122
PC,23.141652944357855,-2.539573226074811,0.5466576365055016,-4.6456375187749765,3.3902784049159657e-06,0.0006802724014787152
ITGB1BP1,26.050204270912353,-1.5636472561585966,0.3369270386712154,-4.640907605175777,3.4688221132585697e-06,0.0006874123036798383
TWIST2,11.572903911330592,-2.7058991341771845,0.5832249038336257,-4.639546624965599,3.4917435398726693e-06,0.0006874123036798383
CAV2,30.36344167454096,-2.8652219797402765,0.6192337045799373,-4.627044617482385,3.7092062891636707e-06,0.0007192810135121115
NEK2,26.177441767568006,3.4147421658868926,0.7381151472729616,4.626300081366695,3.722558436807937e-06,0.0007192810135121115
CTIF,21.36249169887914,-1.5185157098667537,0.329091832778606,-4.614261305257987,3.944958537186287e-06,0.000741652204991022
TK2,9.148494077024203,-1.4309378296492938,0.30991346383969065,-4.617217373910147,3.8891982453444335e-06,0.000741652204991022
CDKN2C,25.960017171720697,-2.527300954176078,0.5476303339196391,-4.614976194045053,3.9314037708553306e-06,0.000741652204991022
SLC29A4,8.410165370972956,-3.1787258347630787,0.6912794683948617,-4.598322357445422,4.259066467110787e-06,0.0007935553485327491
